LHD,Year,Strain,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Central Coast,2001,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Central Coast,2002,B,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Central Coast,2003,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Central Coast,2004,B,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Central Coast,2005,B,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
Central Coast,2006,B,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Central Coast,2007,B,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
Central Coast,2008,B,0,0,1,1,1,0,5,7,3.0,2.0,0.0,0.0
Central Coast,2009,B,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0
Central Coast,2010,B,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Central Coast,2011,B,0,0,0,0,0,1,6,13,3.0,1.0,0.0,1.0
Central Coast,2012,B,0,1,0,0,1,0,3,9,9.0,3.0,1.0,0.0
Central Coast,2013,B,0,0,0,1,0,0,5,7,7.0,5.0,1.0,0.0
Central Coast,2014,B,0,0,1,0,1,0,3,28,10.0,4.0,2.0,0.0
Central Coast,2015,B,0,1,0,3,5,15,45,234,193.0,21.0,3.0,0.0
Central Coast,2016,B,1,3,5,2,1,0,8,9,19.0,7.0,4.0,2.0
Central Coast,2017,B,1,3,1,4,8,71,223,769,797.0,87.0,7.0,2.0
Central Coast,2018,B,14,10,8,2,4,1,2,3,7.0,5.0,1.0,2.0
Central Coast,2019,B,7,2,4,8,39,121,158,163,83.0,13.0,5.0,8.0
Central Coast,2020,B,13,5,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Central Coast,2021,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Central Coast,2022,B,0,0,0,0,0,6,2,23,0.0,5.0,9.0,4.0
Central Coast,2023,B,1,8,23,34,186,665,547,159,35.0,12.0,9.0,1.0
Central Coast,2024,B,7,5,7,8,7,33,9,0,0.0,0.0,0.0,0.0
Far WEST,2001,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2002,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2003,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2004,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2005,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2006,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2007,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2008,B,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0
Far WEST,2009,B,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2010,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
Far WEST,2011,B,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
Far WEST,2012,B,0,0,0,0,0,0,1,0,0.0,0.0,3.0,0.0
Far WEST,2013,B,1,0,0,0,0,0,0,0,1.0,0.0,2.0,1.0
Far WEST,2014,B,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
Far WEST,2015,B,0,0,0,0,1,1,1,4,2.0,1.0,0.0,0.0
Far WEST,2016,B,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
Far WEST,2017,B,1,0,0,1,0,1,2,8,8.0,8.0,1.0,0.0
Far WEST,2018,B,0,0,0,0,1,0,0,13,0.0,0.0,0.0,0.0
Far WEST,2019,B,0,0,0,0,2,0,1,3,5.0,1.0,0.0,0.0
Far WEST,2020,B,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2021,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Far WEST,2022,B,0,0,0,0,2,0,0,1,0.0,0.0,1.0,0.0
Far WEST,2023,B,0,0,0,1,4,4,12,17,14.0,12.0,15.0,17.0
Far WEST,2024,B,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0
Hunter New England,2001,B,0,0,0,0,1,0,0,1,2.0,0.0,0.0,0.0
Hunter New England,2002,B,0,0,0,0,0,3,4,1,0.0,1.0,0.0,0.0
Hunter New England,2003,B,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0
Hunter New England,2004,B,0,0,0,0,0,0,0,0,8.0,9.0,3.0,0.0
Hunter New England,2005,B,0,0,0,0,0,3,2,2,9.0,5.0,1.0,1.0
Hunter New England,2006,B,0,0,0,0,0,0,0,13,6.0,0.0,0.0,0.0
Hunter New England,2007,B,0,0,1,0,0,3,5,10,9.0,5.0,1.0,1.0
Hunter New England,2008,B,0,3,1,0,0,5,12,53,62.0,14.0,1.0,3.0
Hunter New England,2009,B,1,0,0,2,9,8,3,3,0.0,0.0,0.0,1.0
Hunter New England,2010,B,0,0,0,0,0,0,2,2,2.0,3.0,0.0,0.0
Hunter New England,2011,B,0,1,0,1,2,10,68,180,61.0,7.0,0.0,1.0
Hunter New England,2012,B,0,0,0,1,1,8,17,58,89.0,17.0,25.0,11.0
Hunter New England,2013,B,4,2,4,1,2,5,15,57,42.0,24.0,14.0,5.0
Hunter New England,2014,B,1,1,2,9,5,11,50,132,128.0,37.0,8.0,10.0
Hunter New England,2015,B,5,2,7,6,16,59,171,875,720.0,101.0,10.0,4.0
Hunter New England,2016,B,1,6,13,12,11,2,7,29,23.0,23.0,15.0,11.0
Hunter New England,2017,B,1,1,13,13,31,58,364,1974,1667.0,343.0,31.0,14.0
Hunter New England,2018,B,25,32,27,18,7,4,7,230,131.0,29.0,8.0,13.0
Hunter New England,2019,B,10,10,12,17,97,208,340,469,424.0,79.0,16.0,13.0
Hunter New England,2020,B,17,20,22,1,2,0,0,0,0.0,0.0,0.0,0.0
Hunter New England,2021,B,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
Hunter New England,2022,B,0,0,0,0,0,2,2,0,0.0,5.0,2.0,7.0
